#,Date-Time (EST),"ACCurrent , amp","Temperature , °C","RH , %","Dew Point , °C"
92,01/29/2025 12:41:00,130.498,28.153,16.85,0.69
93,01/29/2025 12:42:00,99.394,28.091,16.8,0.6
94,01/29/2025 12:43:00,126.378,28.129,16.96,0.76
95,01/29/2025 12:44:00,126.165,28.129,16.89,0.71
96,01/29/2025 12:45:00,126.509,28.201,16.94,0.81
97,01/29/2025 12:46:00,129.635,28.261,17.01,0.91
98,01/29/2025 12:47:00,105.336,28.351,16.94,0.93
99,01/29/2025 12:48:00,132.641,28.391,16.92,0.94
100,01/29/2025 12:49:00,123.845,28.455,16.88,0.97
101,01/29/2025 12:50:00,131.438,28.49,16.9,1.01
102,01/29/2025 12:51:00,100.27,28.549,16.75,0.93
103,01/29/2025 12:52:00,126.958,28.565,16.76,0.96
104,01/29/2025 12:53:00,127.373,28.591,16.72,0.94
105,01/29/2025 12:54:00,132.436,28.569,16.72,0.92
106,01/29/2025 12:55:00,105.165,28.546,16.74,0.92
107,01/29/2025 12:56:00,133.266,28.51,16.66,0.83
108,01/29/2025 12:57:00,99.672,28.467,16.66,0.79
109,01/29/2025 12:58:00,127.779,28.431,16.67,0.77
110,01/29/2025 12:59:00,131.032,28.458,16.75,0.86
111,01/29/2025 13:00:00,130.703,28.441,16.69,0.79
112,01/29/2025 13:01:00,127.779,28.447,16.74,0.84
113,01/29/2025 13:02:00,111.843,28.498,16.81,0.94
114,01/29/2025 13:03:00,108.171,28.543,16.85,1.01
115,01/29/2025 13:04:00,128.209,28.585,16.75,0.96
116,01/29/2025 13:05:00,127.733,28.683,16.77,1.06
117,01/29/2025 13:06:00,128.472,28.749,16.77,1.11
118,01/29/2025 13:07:00,129.458,28.759,16.74,1.1
119,01/29/2025 13:08:00,131.838,28.855,16.7,1.13
120,01/29/2025 13:09:00,131.466,28.891,16.73,1.19
121,01/29/2025 13:10:00,128.972,28.919,16.67,1.16
122,01/29/2025 13:11:00,100.697,28.931,16.72,1.21
123,01/29/2025 13:12:00,133.04,28.944,16.74,1.24
124,01/29/2025 13:13:00,103.075,28.978,16.63,1.17
125,01/29/2025 13:14:00,127.349,28.91,16.66,1.14
126,01/29/2025 13:15:00,126.845,28.902,16.66,1.14
127,01/29/2025 13:16:00,127.086,28.874,16.71,1.16
128,01/29/2025 13:17:00,100.899,28.847,16.68,1.11
129,01/29/2025 13:18:00,126.885,28.802,16.71,1.1
130,01/29/2025 13:19:00,136.324,28.829,16.74,1.15
131,01/29/2025 13:20:00,127.422,28.858,16.72,1.16
132,01/29/2025 13:21:00,104.247,28.888,16.71,1.17
133,01/29/2025 13:22:00,134.447,28.947,16.64,1.16
134,01/29/2025 13:23:00,129.674,28.944,16.69,1.2
135,01/29/2025 13:24:00,129.61,29.031,16.65,1.23
136,01/29/2025 13:25:00,128.811,29.101,16.62,1.27
137,01/29/2025 13:26:00,130.99,29.17,16.59,1.29
138,01/29/2025 13:27:00,131.127,29.235,16.51,1.28
139,01/29/2025 13:28:00,130.605,29.279,16.51,1.32
140,01/29/2025 13:29:00,127.996,29.309,16.43,1.28
141,01/29/2025 13:30:00,103.05,29.313,16.37,1.23
142,01/29/2025 13:31:00,126.928,29.252,16.42,1.22
143,01/29/2025 13:32:00,127.55,29.298,16.37,1.22
144,01/29/2025 13:33:00,99.873,29.263,16.36,1.18
145,01/29/2025 13:34:00,126.848,29.274,16.34,1.17
146,01/29/2025 13:35:00,126.058,29.262,16.36,1.17
147,01/29/2025 13:36:00,125.487,29.279,16.45,1.27
148,01/29/2025 13:37:00,126.687,29.227,16.47,1.24
149,01/29/2025 13:38:00,135.293,29.274,16.5,1.3
150,01/29/2025 13:39:00,125.786,29.348,16.49,1.35
151,01/29/2025 13:40:00,127.706,29.387,16.52,1.41
152,01/29/2025 13:41:00,127.749,29.485,16.44,1.43
153,01/29/2025 13:42:00,98.918,29.507,16.4,1.4
154,01/29/2025 13:43:00,131.31,29.646,16.35,1.48
155,01/29/2025 13:44:00,106.282,29.695,16.29,1.46
156,01/29/2025 13:45:00,125.435,29.69,16.24,1.42
157,01/29/2025 13:46:00,129.003,29.664,16.26,1.41
158,01/29/2025 13:47:00,100.349,29.646,16.28,1.42
159,01/29/2025 13:48:00,99.699,29.692,16.15,1.34
160,01/29/2025 13:49:00,126.165,29.709,16.18,1.38
161,01/29/2025 13:50:00,125.893,29.67,16.14,1.31
162,01/29/2025 13:51:00,128.219,29.628,16.15,1.29
163,01/29/2025 13:52:00,129.912,29.628,16.18,1.32
164,01/29/2025 13:53:00,125.774,29.595,16.23,1.33
165,01/29/2025 13:54:00,129.14,29.599,16.2,1.31
166,01/29/2025 13:55:00,131.798,29.606,16.18,1.3
167,01/29/2025 13:56:00,131.084,29.648,16.23,1.37
168,01/29/2025 13:57:00,104.372,29.684,16.23,1.4
169,01/29/2025 13:58:00,126.079,29.714,16.23,1.43
170,01/29/2025 13:59:00,101.546,29.784,16.28,1.53
171,01/29/2025 14:00:00,101.003,29.82,16.19,1.48
172,01/29/2025 14:01:00,126.198,29.875,16.19,1.52
173,01/29/2025 14:02:00,101.952,29.872,16.16,1.49
174,01/29/2025 14:03:00,125.853,29.841,16.08,1.4
175,01/29/2025 14:04:00,128.243,29.861,16.08,1.42
176,01/29/2025 14:05:00,126.11,29.803,15.99,1.29
177,01/29/2025 14:06:00,102.391,29.75,16.06,1.31
178,01/29/2025 14:07:00,125.576,29.726,16.03,1.27
179,01/29/2025 14:08:00,99.046,29.698,16.08,1.28
180,01/29/2025 14:09:00,127.205,29.671,16.08,1.26
181,01/29/2025 14:10:00,126.473,29.621,16.19,1.32
182,01/29/2025 14:11:00,127.047,29.671,16.17,1.34
183,01/29/2025 14:12:00,125.884,29.679,16.19,1.36
184,01/29/2025 14:13:00,106.456,29.72,16.14,1.36
185,01/29/2025 14:14:00,132.216,29.808,16.22,1.5
186,01/29/2025 14:15:00,95.72,29.85,16.09,1.42
187,01/29/2025 14:16:00,132.186,29.894,16.13,1.48
188,01/29/2025 14:17:00,130.101,29.866,16.08,1.42
189,01/29/2025 14:18:00,111.345,29.889,16.07,1.43
190,01/29/2025 14:19:00,132.021,29.893,16.0,1.38
191,01/29/2025 14:20:00,103.032,29.897,16.05,1.42
192,01/29/2025 14:21:00,124.974,29.841,16.04,1.36
193,01/29/2025 14:22:00,113.698,29.827,15.97,1.3
194,01/29/2025 14:23:00,127.312,29.751,16.0,1.26
195,01/29/2025 14:24:00,127.7,29.726,15.97,1.21
196,01/29/2025 14:25:00,132.006,29.635,16.01,1.18
197,01/29/2025 14:26:00,101.54,29.612,16.01,1.16
198,01/29/2025 14:27:00,130.486,29.588,16.05,1.17
199,01/29/2025 14:28:00,126.079,29.601,16.06,1.19
200,01/29/2025 14:29:00,132.427,29.617,16.06,1.2
201,01/29/2025 14:30:00,131.38,29.631,16.11,1.25
202,01/29/2025 14:31:00,126.741,29.639,16.11,1.26
203,01/29/2025 14:32:00,126.888,29.668,16.12,1.3
204,01/29/2025 14:33:00,131.301,29.729,16.04,1.28
205,01/29/2025 14:34:00,127.294,29.739,16.05,1.29
206,01/29/2025 14:35:00,128.966,29.8,16.09,1.38
207,01/29/2025 14:36:00,126.622,29.808,16.01,1.32
208,01/29/2025 14:37:00,127.456,29.787,15.95,1.25
209,01/29/2025 14:38:00,126.708,29.787,16.0,1.29
210,01/29/2025 14:39:00,97.603,29.762,15.95,1.23
211,01/29/2025 14:40:00,132.457,29.706,15.94,1.17
212,01/29/2025 14:41:00,133.953,29.628,15.89,1.06
213,01/29/2025 14:42:00,129.638,29.595,15.89,1.03
214,01/29/2025 14:43:00,125.341,29.521,15.9,0.99
215,01/29/2025 14:44:00,99.55,29.41,15.92,0.91
216,01/29/2025 14:45:00,132.583,29.366,15.96,0.92
217,01/29/2025 14:46:00,104.137,29.37,16.07,1.02
218,01/29/2025 14:47:00,133.013,29.318,16.11,1.01
219,01/29/2025 14:48:00,131.453,29.334,16.1,1.01
220,01/29/2025 14:49:00,125.789,29.37,16.15,1.08
221,01/29/2025 14:50:00,126.567,29.427,16.13,1.11
222,01/29/2025 14:51:00,93.639,29.432,16.11,1.1
223,01/29/2025 14:52:00,126.452,29.485,16.13,1.16
224,01/29/2025 14:53:00,100.06,29.554,16.07,1.16
225,01/29/2025 14:54:00,96.19,29.562,16.1,1.19
226,01/29/2025 14:55:00,125.93,29.549,16.09,1.17
227,01/29/2025 14:56:00,128.841,29.587,16.04,1.16
228,01/29/2025 14:57:00,131.847,29.565,15.99,1.1
229,01/29/2025 14:58:00,99.251,29.543,15.98,1.07
230,01/29/2025 14:59:00,134.423,29.501,15.93,1.0
231,01/29/2025 15:00:00,127.022,29.484,15.96,1.01
232,01/29/2025 15:01:00,129.519,29.416,15.88,0.88
233,01/29/2025 15:02:00,126.574,29.363,15.93,0.89
234,01/29/2025 15:03:00,127.251,29.266,15.81,0.71
235,01/29/2025 15:04:00,101.833,29.22,15.75,0.61
236,01/29/2025 15:05:00,131.09,29.207,15.84,0.69
237,01/29/2025 15:06:00,133.202,29.212,15.74,0.6
238,01/29/2025 15:07:00,135.705,29.168,15.79,0.61
239,01/29/2025 15:08:00,134.856,29.164,15.76,0.58
240,01/29/2025 15:09:00,129.287,29.217,15.79,0.65
241,01/29/2025 15:10:00,97.063,29.252,15.82,0.7
242,01/29/2025 15:11:00,105.513,29.324,15.84,0.78
243,01/29/2025 15:12:00,131.676,29.41,15.78,0.79
244,01/29/2025 15:13:00,127.117,29.485,15.76,0.84
245,01/29/2025 15:14:00,105.257,29.485,15.77,0.84
246,01/29/2025 15:15:00,107.366,29.502,15.72,0.81
247,01/29/2025 15:16:00,130.938,29.509,15.69,0.79
248,01/29/2025 15:17:00,130.578,29.457,15.56,0.64
249,01/29/2025 15:18:00,96.883,29.448,15.59,0.66
250,01/29/2025 15:19:00,125.585,29.423,15.61,0.65
251,01/29/2025 15:20:00,131.45,29.396,15.64,0.66
252,01/29/2025 15:21:00,125.78,29.346,15.64,0.62
253,01/29/2025 15:22:00,101.268,29.282,15.65,0.58
254,01/29/2025 15:23:00,98.848,29.234,15.79,0.66
255,01/29/2025 15:24:00,131.92,29.209,15.81,0.66
256,01/29/2025 15:25:00,94.185,29.168,15.9,0.71
257,01/29/2025 15:26:00,103.273,29.143,15.9,0.69
258,01/29/2025 15:27:00,97.853,29.118,15.92,0.68
259,01/29/2025 15:28:00,95.256,29.126,15.87,0.64
260,01/29/2025 15:29:00,133.581,29.087,15.9,0.64
261,01/29/2025 15:30:00,95.872,29.112,15.94,0.7
262,01/29/2025 15:31:00,89.586,29.129,15.88,0.66
263,01/29/2025 15:32:00,130.227,29.107,15.82,0.59
264,01/29/2025 15:33:00,98.57,29.098,15.9,0.65
265,01/29/2025 15:34:00,92.119,29.02,15.91,0.6
266,01/29/2025 15:35:00,0.394,29.065,15.86,0.59
267,01/29/2025 15:36:00,0.388,29.045,15.77,0.49
268,01/29/2025 15:37:00,0.388,29.011,15.66,0.37
269,01/29/2025 15:38:00,0.388,28.924,15.64,0.28
270,01/29/2025 15:39:00,0.385,28.863,15.65,0.25
271,01/29/2025 15:40:00,0.385,28.857,15.53,0.13
272,01/29/2025 15:41:00,0.385,28.812,15.59,0.15
273,01/29/2025 15:42:00,0.385,28.771,15.57,0.1
274,01/29/2025 15:43:00,0.381,28.718,15.55,0.04
275,01/29/2025 15:44:00,0.385,28.648,15.5,-0.06
276,01/29/2025 15:45:00,0.385,28.659,15.53,-0.02
277,01/29/2025 15:46:00,0.385,28.638,15.5,-0.07
278,01/29/2025 15:47:00,0.385,28.6,15.47,-0.13
279,01/29/2025 15:48:00,0.385,28.56,15.44,-0.19
280,01/29/2025 15:49:00,0.385,28.549,15.45,-0.18
281,01/29/2025 15:50:00,0.385,28.512,15.45,-0.21
282,01/29/2025 15:51:00,0.385,28.512,15.5,-0.17
283,01/29/2025 15:52:00,0.385,28.476,15.45,-0.24
284,01/29/2025 15:53:00,0.381,28.484,15.51,-0.18
285,01/29/2025 15:54:00,0.381,28.439,15.54,-0.19
286,01/29/2025 15:55:00,0.385,28.433,15.53,-0.21
287,01/29/2025 15:56:00,0.385,28.413,15.46,-0.28
288,01/29/2025 15:57:00,0.385,28.38,15.46,-0.31
289,01/29/2025 15:58:00,0.385,28.358,15.52,-0.27
290,01/29/2025 15:59:00,0.381,28.332,15.46,-0.35
291,01/29/2025 16:00:00,0.381,28.32,15.46,-0.36
292,01/29/2025 16:01:00,0.385,28.286,15.46,-0.39
293,01/29/2025 16:02:00,0.381,28.262,15.41,-0.45
294,01/29/2025 16:03:00,0.381,28.253,15.42,-0.44
295,01/29/2025 16:04:00,0.381,28.201,15.47,-0.45
296,01/29/2025 16:05:00,0.385,28.196,15.48,-0.44
297,01/29/2025 16:06:00,0.381,28.154,15.48,-0.47
298,01/29/2025 16:07:00,0.381,28.109,15.46,-0.52
299,01/29/2025 16:08:00,0.381,28.114,15.48,-0.51
300,01/29/2025 16:09:00,0.381,28.102,15.52,-0.48
301,01/29/2025 16:10:00,0.381,28.06,15.48,-0.55
302,01/29/2025 16:11:00,0.381,28.063,15.48,-0.55
303,01/29/2025 16:12:00,0.381,28.04,15.43,-0.61
304,01/29/2025 16:13:00,0.381,27.995,15.44,-0.63
305,01/29/2025 16:14:00,0.381,27.973,15.44,-0.65
306,01/29/2025 16:15:00,0.381,27.961,15.43,-0.67
307,01/29/2025 16:16:00,0.381,27.97,15.49,-0.61
308,01/29/2025 16:17:00,0.381,27.941,15.42,-0.69
309,01/29/2025 16:18:00,0.378,27.892,15.39,-0.76
310,01/29/2025 16:19:00,0.378,27.878,15.42,-0.74
311,01/29/2025 16:20:00,0.375,27.87,15.41,-0.76
312,01/29/2025 16:21:00,0.375,27.889,15.44,-0.72
313,01/29/2025 16:22:00,0.378,27.873,15.44,-0.73
314,01/29/2025 16:23:00,0.378,27.862,15.51,-0.68
315,01/29/2025 16:24:00,0.378,27.814,15.47,-0.75
316,01/29/2025 16:25:00,0.381,27.805,15.42,-0.8
317,01/29/2025 16:26:00,0.378,27.791,15.45,-0.79
318,01/29/2025 16:27:00,0.378,27.777,15.38,-0.86
319,01/29/2025 16:28:00,0.378,27.737,15.4,-0.87
320,01/29/2025 16:29:00,0.378,27.733,15.38,-0.89
321,01/29/2025 16:30:00,0.378,27.69,15.34,-0.97
322,01/29/2025 16:31:00,0.381,27.662,15.35,-0.98
323,01/29/2025 16:32:00,0.378,27.616,15.29,-1.07
324,01/29/2025 16:33:00,0.378,27.589,15.21,-1.17
325,01/29/2025 16:34:00,0.378,27.56,15.3,-1.11
326,01/29/2025 16:35:00,0.381,27.516,15.33,-1.12
327,01/29/2025 16:36:00,0.381,27.493,15.31,-1.15
328,01/29/2025 16:37:00,0.381,27.459,15.34,-1.15
329,01/29/2025 16:38:00,0.378,27.422,15.29,-1.22
330,01/29/2025 16:39:00,0.378,27.403,15.24,-1.28
331,01/29/2025 16:40:00,0.378,27.379,15.21,-1.33
332,01/29/2025 16:41:00,0.378,27.331,15.18,-1.4
333,01/29/2025 16:42:00,0.375,27.313,15.21,-1.39
334,01/29/2025 16:43:00,0.381,27.267,15.19,-1.43
335,01/29/2025 16:44:00,0.381,27.251,15.16,-1.48
336,01/29/2025 16:45:00,0.381,27.204,15.17,-1.5
337,01/29/2025 16:46:00,0.378,27.188,15.12,-1.56
338,01/29/2025 16:47:00,0.375,27.127,15.12,-1.61
339,01/29/2025 16:48:00,0.378,27.092,15.12,-1.64
340,01/29/2025 16:49:00,0.378,27.069,15.14,-1.64
341,01/29/2025 16:50:00,0.381,27.05,15.09,-1.7
342,01/29/2025 16:51:00,0.378,27.016,15.07,-1.74
343,01/29/2025 16:52:00,0.378,26.995,15.08,-1.75
344,01/29/2025 16:53:00,0.375,26.977,15.05,-1.79
345,01/29/2025 16:54:00,0.378,26.96,15.02,-1.83
346,01/29/2025 16:55:00,0.375,26.935,15.04,-1.84
347,01/29/2025 16:56:00,0.375,26.921,15.05,-1.84
348,01/29/2025 16:57:00,0.378,26.892,14.97,-1.93
349,01/29/2025 16:58:00,0.375,26.866,15.0,-1.93
350,01/29/2025 16:59:00,0.375,26.842,14.97,-1.97
351,01/29/2025 17:00:00,0.372,26.816,14.98,-1.98
352,01/29/2025 17:01:00,0.375,26.761,14.97,-2.04
353,01/29/2025 17:02:00,0.375,26.736,14.93,-2.09
354,01/29/2025 17:03:00,0.372,26.716,14.92,-2.12
355,01/29/2025 17:04:00,0.375,26.696,14.87,-2.18
356,01/29/2025 17:05:00,0.372,26.673,14.87,-2.2
357,01/29/2025 17:06:00,0.375,26.657,14.87,-2.21
358,01/29/2025 17:07:00,0.372,26.641,14.88,-2.21
359,01/29/2025 17:08:00,0.375,26.621,14.87,-2.24
360,01/29/2025 17:09:00,0.372,26.618,14.85,-2.26
361,01/29/2025 17:10:00,0.372,26.589,14.83,-2.3
362,01/29/2025 17:11:00,0.375,26.576,14.8,-2.34
363,01/29/2025 17:12:00,0.375,26.55,14.77,-2.39
364,01/29/2025 17:13:00,0.375,26.521,14.8,-2.38
365,01/29/2025 17:14:00,0.375,26.495,14.78,-2.42
366,01/29/2025 17:15:00,0.375,26.473,14.74,-2.48
367,01/29/2025 17:16:00,0.378,26.461,14.73,-2.49
368,01/29/2025 17:17:00,0.378,26.435,14.73,-2.51
369,01/29/2025 17:18:00,0.375,26.403,14.7,-2.57
370,01/29/2025 17:19:00,0.372,26.392,14.71,-2.56
371,01/29/2025 17:20:00,0.375,26.369,14.7,-2.6
372,01/29/2025 17:21:00,0.375,26.353,14.63,-2.67
373,01/29/2025 17:22:00,0.375,26.345,14.68,-2.63
374,01/29/2025 17:23:00,0.375,26.324,14.7,-2.63
375,01/29/2025 17:24:00,0.372,26.292,14.68,-2.68
376,01/29/2025 17:25:00,0.372,26.272,14.74,-2.64
377,01/29/2025 17:26:00,0.375,26.259,14.71,-2.67
378,01/29/2025 17:27:00,0.375,26.227,14.69,-2.72
379,01/29/2025 17:28:00,0.375,26.194,14.74,-2.7
380,01/29/2025 17:29:00,0.375,26.16,14.74,-2.73
381,01/29/2025 17:30:00,0.375,26.131,14.74,-2.75
382,01/29/2025 17:31:00,0.375,26.112,14.8,-2.71
383,01/29/2025 17:32:00,0.372,26.075,14.77,-2.77
384,01/29/2025 17:33:00,0.375,26.051,14.76,-2.79
385,01/29/2025 17:34:00,0.372,26.025,14.76,-2.81
386,01/29/2025 17:35:00,0.372,26.013,14.72,-2.86
387,01/29/2025 17:36:00,0.372,25.985,14.75,-2.86
388,01/29/2025 17:37:00,0.372,25.962,14.76,-2.86
389,01/29/2025 17:38:00,0.372,25.943,14.73,-2.91
390,01/29/2025 17:39:00,0.372,25.923,14.78,-2.88
391,01/29/2025 17:40:00,0.372,25.898,14.82,-2.86
392,01/29/2025 17:41:00,0.372,25.857,14.76,-2.95
393,01/29/2025 17:42:00,0.372,25.844,14.84,-2.89
394,01/29/2025 17:43:00,0.372,25.822,14.77,-2.96
395,01/29/2025 17:44:00,0.372,25.8,14.83,-2.93
396,01/29/2025 17:45:00,0.372,25.769,14.77,-3.01
397,01/29/2025 17:46:00,0.369,25.743,14.77,-3.03
398,01/29/2025 17:47:00,0.369,25.739,14.81,-2.99
399,01/29/2025 17:48:00,0.366,25.724,14.78,-3.03
400,01/29/2025 17:49:00,0.366,25.695,14.85,-3.0
401,01/29/2025 17:50:00,0.369,25.684,14.77,-3.08
402,01/29/2025 17:51:00,0.366,25.661,14.81,-3.05
403,01/29/2025 17:52:00,0.366,25.655,14.75,-3.12
404,01/29/2025 17:53:00,0.366,25.644,14.83,-3.05
405,01/29/2025 17:54:00,0.366,25.631,14.75,-3.14
406,01/29/2025 17:55:00,0.366,25.608,14.75,-3.16
407,01/29/2025 17:56:00,0.369,25.599,14.75,-3.16
408,01/29/2025 17:57:00,0.369,25.597,14.7,-3.21
409,01/29/2025 17:58:00,0.366,25.581,14.76,-3.16
410,01/29/2025 17:59:00,0.366,25.569,14.81,-3.13
411,01/29/2025 18:00:00,0.366,25.546,14.82,-3.14
412,01/29/2025 18:01:00,0.366,25.541,14.81,-3.16
413,01/29/2025 18:02:00,0.366,25.517,14.79,-3.19
414,01/29/2025 18:03:00,0.366,25.503,14.78,-3.21
415,01/29/2025 18:04:00,0.366,25.49,14.79,-3.21
416,01/29/2025 18:05:00,0.366,25.487,14.8,-3.2
417,01/29/2025 18:06:00,0.369,25.474,14.77,-3.24
418,01/29/2025 18:07:00,0.369,25.461,14.82,-3.21
419,01/29/2025 18:08:00,0.366,25.443,14.8,-3.24
420,01/29/2025 18:09:00,0.366,25.429,14.76,-3.29
421,01/29/2025 18:10:00,0.366,25.414,14.83,-3.23
422,01/29/2025 18:11:00,0.369,25.383,14.85,-3.24
423,01/29/2025 18:12:00,0.366,25.373,14.86,-3.24
424,01/29/2025 18:13:00,0.366,25.362,14.85,-3.26
425,01/29/2025 18:14:00,0.366,25.348,14.85,-3.27
426,01/29/2025 18:15:00,0.366,25.338,14.85,-3.28
427,01/29/2025 18:16:00,0.369,25.332,14.78,-3.34
428,01/29/2025 18:17:00,0.369,25.314,14.8,-3.35
429,01/29/2025 18:18:00,0.366,25.306,14.83,-3.32
430,01/29/2025 18:19:00,0.369,25.288,14.83,-3.34
431,01/29/2025 18:20:00,0.366,25.282,14.81,-3.36
432,01/29/2025 18:21:00,0.369,25.268,14.8,-3.38
433,01/29/2025 18:22:00,0.369,25.256,14.76,-3.42
434,01/29/2025 18:23:00,0.369,25.253,14.76,-3.42
435,01/29/2025 18:24:00,0.366,25.247,14.83,-3.37
436,01/29/2025 18:25:00,0.366,25.239,14.81,-3.39
437,01/29/2025 18:26:00,0.369,25.221,14.79,-3.42
438,01/29/2025 18:27:00,0.369,25.206,14.81,-3.42
439,01/29/2025 18:28:00,0.369,25.197,14.86,-3.38
440,01/29/2025 18:29:00,0.369,25.18,14.85,-3.4
441,01/29/2025 18:30:00,0.369,25.165,14.85,-3.41
442,01/29/2025 18:31:00,0.369,25.153,14.84,-3.44
443,01/29/2025 18:32:00,0.366,25.139,14.84,-3.45
444,01/29/2025 18:33:00,0.369,25.115,14.85,-3.45
445,01/29/2025 18:34:00,0.369,25.107,14.82,-3.48
446,01/29/2025 18:35:00,0.366,25.092,14.82,-3.5
447,01/29/2025 18:36:00,0.366,25.086,14.85,-3.48
448,01/29/2025 18:37:00,0.366,25.073,14.88,-3.46
449,01/29/2025 18:38:00,0.366,25.056,14.87,-3.49
450,01/29/2025 18:39:00,0.366,25.048,14.82,-3.54
451,01/29/2025 18:40:00,0.363,25.033,14.9,-3.48
452,01/29/2025 18:41:00,0.363,25.008,14.88,-3.51
453,01/29/2025 18:42:00,0.363,25.0,14.91,-3.49
454,01/29/2025 18:43:00,0.363,24.982,14.94,-3.48
455,01/29/2025 18:44:00,0.36,24.959,14.96,-3.48
456,01/29/2025 18:45:00,0.363,24.945,14.97,-3.48
457,01/29/2025 18:46:00,0.36,24.914,14.96,-3.52
458,01/29/2025 18:47:00,0.363,24.902,14.92,-3.56
459,01/29/2025 18:48:00,0.366,24.888,14.96,-3.54
460,01/29/2025 18:49:00,0.366,24.87,14.91,-3.6
461,01/29/2025 18:50:00,0.369,24.853,14.98,-3.54
462,01/29/2025 18:51:00,0.369,24.838,14.98,-3.56
463,01/29/2025 18:52:00,0.369,24.812,14.97,-3.59
464,01/29/2025 18:53:00,0.369,24.799,14.93,-3.63
465,01/29/2025 18:54:00,0.366,24.771,14.95,-3.64
466,01/29/2025 18:55:00,0.369,24.767,15.0,-3.6
467,01/29/2025 18:56:00,0.369,24.75,14.96,-3.64
468,01/29/2025 18:57:00,0.369,24.732,15.01,-3.62
469,01/29/2025 18:58:00,0.366,24.716,15.01,-3.63
470,01/29/2025 18:59:00,0.366,24.7,15.01,-3.64
471,01/29/2025 19:00:00,0.369,24.675,14.98,-3.69
472,01/29/2025 19:01:00,0.369,24.651,15.03,-3.67
473,01/29/2025 19:02:00,0.369,24.629,15.01,-3.7
474,01/29/2025 19:03:00,0.369,24.605,15.01,-3.72
475,01/29/2025 19:04:00,0.366,24.59,14.94,-3.79
476,01/29/2025 19:05:00,0.366,24.569,15.03,-3.72
477,01/29/2025 19:06:00,0.369,24.554,15.02,-3.75
478,01/29/2025 19:07:00,0.369,24.536,15.05,-3.74
479,01/29/2025 19:08:00,0.369,24.516,14.99,-3.81
480,01/29/2025 19:09:00,0.369,24.507,15.0,-3.8
481,01/29/2025 19:10:00,0.366,24.493,14.95,-3.86
482,01/29/2025 19:11:00,0.366,24.469,15.02,-3.82
483,01/29/2025 19:12:00,0.366,24.438,14.97,-3.89
484,01/29/2025 19:13:00,0.366,24.417,14.92,-3.95
485,01/29/2025 19:14:00,0.369,24.401,14.95,-3.93
