#,Date-Time (EST/EDT),"ACCurrent , amp","Temperature , °C","RH , %","Light , lux","Dew Point , °C"
63,02/26/2025 13:34:26,90.575,37.279,12.76,0.0,3.99
64,02/26/2025 13:35:26,90.163,36.995,12.82,0.0,3.84
65,02/26/2025 13:36:26,89.732,36.68,12.86,0.0,3.65
66,02/26/2025 13:37:26,89.467,36.468,12.89,0.0,3.51
67,02/26/2025 13:38:26,89.851,36.107,13.06,0.0,3.42
68,02/26/2025 13:39:26,90.199,35.881,13.24,0.0,3.43
69,02/26/2025 13:40:26,90.126,35.749,13.28,0.0,3.38
70,02/26/2025 13:41:26,93.916,35.67,13.17,0.0,3.19
71,02/26/2025 13:42:26,96.077,35.71,13.19,0.0,3.25
72,02/26/2025 13:43:26,89.293,35.635,13.21,0.0,3.21
73,02/26/2025 13:44:26,87.782,35.232,13.23,0.0,2.92
74,02/26/2025 13:45:26,87.691,34.974,13.28,0.0,2.77
75,02/26/2025 13:46:26,93.935,34.895,13.4,0.0,2.84
76,02/26/2025 13:47:26,94.081,34.762,13.45,0.0,2.78
77,02/26/2025 13:48:26,86.217,34.516,13.53,0.0,2.67
78,02/26/2025 13:49:26,85.402,34.257,13.57,0.0,2.51
79,02/26/2025 13:50:26,85.997,34.066,13.71,0.0,2.51
80,02/26/2025 13:51:26,85.237,33.871,13.67,0.0,2.32
81,02/26/2025 13:52:26,89.677,33.66,13.83,0.0,2.31
82,02/26/2025 13:53:26,90.245,33.546,13.84,0.0,2.23
83,02/26/2025 13:54:26,90.556,33.425,13.93,0.0,2.23
84,02/26/2025 13:55:26,89.86,33.292,13.98,0.0,2.17
85,02/26/2025 13:56:26,89.924,33.125,14.05,0.0,2.12
86,02/26/2025 13:57:26,90.3,32.97,14.13,0.0,2.07
87,02/26/2025 13:58:26,89.888,32.776,14.3,0.0,2.09
88,02/26/2025 13:59:26,89.293,32.734,14.43,0.0,2.18
89,02/26/2025 14:00:26,89.613,32.645,14.47,0.0,2.16
90,02/26/2025 14:01:26,89.65,32.712,14.47,0.0,2.2
91,02/26/2025 14:02:26,89.54,32.626,14.5,0.0,2.17
92,02/26/2025 14:03:26,90.053,32.581,14.53,0.0,2.16
93,02/26/2025 14:04:26,90.153,32.465,14.61,0.0,2.14
94,02/26/2025 14:05:26,89.842,32.342,14.65,0.0,2.09
95,02/26/2025 14:06:26,86.72,32.199,14.73,0.0,2.05
96,02/26/2025 14:07:26,86.619,32.064,14.82,0.0,2.03
97,02/26/2025 14:08:26,86.198,31.973,14.84,0.0,1.97
98,02/26/2025 14:09:26,86.07,31.832,14.87,0.0,1.89
99,02/26/2025 14:10:26,86.033,31.712,14.93,0.0,1.85
100,02/26/2025 14:11:26,92.927,31.738,14.99,0.0,1.93
101,02/26/2025 14:12:26,92.964,31.75,15.07,0.0,2.01
102,02/26/2025 14:13:26,93.175,31.706,15.03,0.0,1.94
103,02/26/2025 14:14:26,92.699,31.667,15.03,0.0,1.91
104,02/26/2025 14:15:26,88.313,31.493,15.13,0.0,1.86
105,02/26/2025 14:16:26,88.322,31.393,15.23,0.0,1.88
106,02/26/2025 14:17:26,88.313,31.253,15.17,0.0,1.71
107,02/26/2025 14:18:26,88.597,31.159,15.26,0.0,1.72
108,02/26/2025 14:19:26,88.276,31.1,15.34,0.0,1.75
109,02/26/2025 14:20:26,88.194,30.975,15.43,0.0,1.73
110,02/26/2025 14:21:26,88.222,30.908,15.55,0.0,1.78
111,02/26/2025 14:22:26,87.608,30.94,15.53,0.0,1.79
112,02/26/2025 14:23:26,88.112,30.994,15.44,0.0,1.75
113,02/26/2025 14:24:26,87.745,30.927,15.46,0.0,1.71
114,02/26/2025 14:25:26,87.929,30.85,15.44,0.0,1.64
115,02/26/2025 14:26:26,88.359,30.804,15.5,0.0,1.66
116,02/26/2025 14:27:26,88.405,30.745,15.52,0.0,1.62
117,02/26/2025 14:28:26,88.423,30.66,15.51,0.0,1.55
118,02/26/2025 14:29:26,88.46,30.595,15.51,0.0,1.5
119,02/26/2025 14:30:26,88.304,30.535,15.49,0.0,1.43
120,02/26/2025 14:31:26,88.167,30.439,15.59,0.0,1.44
121,02/26/2025 14:32:26,88.295,30.335,15.61,0.0,1.38
122,02/26/2025 14:33:26,87.572,30.284,15.66,0.0,1.39
123,02/26/2025 14:34:26,88.258,30.226,15.76,0.0,1.43
124,02/26/2025 14:35:26,88.295,30.164,15.72,0.0,1.35
125,02/26/2025 14:36:26,87.443,30.1,15.77,0.0,1.34
126,02/26/2025 14:37:26,93.001,30.061,15.8,0.0,1.33
127,02/26/2025 14:38:26,92.836,30.07,15.78,0.0,1.32
128,02/26/2025 14:39:26,92.369,30.059,15.83,0.0,1.35
129,02/26/2025 14:40:26,93.019,30.051,15.94,0.0,1.45
130,02/26/2025 14:41:26,92.607,29.984,15.95,0.0,1.4
131,02/26/2025 14:42:26,92.992,29.976,16.06,0.0,1.49
132,02/26/2025 14:43:26,93.111,29.962,16.1,0.0,1.51
133,02/26/2025 14:44:26,95.491,30.081,16.34,0.0,1.82
134,02/26/2025 14:45:26,95.628,30.091,16.24,0.0,1.74
135,02/26/2025 14:46:26,92.882,30.109,16.06,0.0,1.6
136,02/26/2025 14:47:26,88.267,30.009,16.1,0.0,1.55
137,02/26/2025 14:48:26,96.699,29.933,16.13,0.0,1.51
138,02/26/2025 14:49:26,96.782,29.981,16.09,0.0,1.52
139,02/26/2025 14:50:26,92.149,29.979,16.17,0.0,1.59
140,02/26/2025 14:51:26,92.021,29.902,16.16,0.0,1.52
141,02/26/2025 14:52:26,88.762,29.844,16.17,0.0,1.48
142,02/26/2025 14:53:26,88.643,29.784,16.22,0.0,1.48
143,02/26/2025 14:54:26,88.295,29.698,16.22,0.0,1.41
144,02/26/2025 14:55:26,93.477,29.762,16.26,0.0,1.5
145,02/26/2025 14:56:26,93.44,29.762,16.26,0.0,1.5
146,02/26/2025 14:57:26,94.347,29.781,16.28,0.0,1.52
147,02/26/2025 14:58:26,92.662,29.753,16.33,0.0,1.54
148,02/26/2025 14:59:26,89.888,29.639,16.29,0.0,1.42
149,02/26/2025 15:00:26,89.723,29.559,16.39,0.0,1.44
150,02/26/2025 15:01:26,89.979,29.52,16.37,0.0,1.4
151,02/26/2025 15:02:26,89.924,29.451,16.5,0.0,1.45
152,02/26/2025 15:03:26,90.254,29.42,16.43,0.0,1.37
153,02/26/2025 15:04:26,89.888,29.352,16.47,0.0,1.34
154,02/26/2025 15:05:26,89.76,29.31,16.49,0.0,1.33
155,02/26/2025 15:06:26,89.412,29.249,16.61,0.0,1.38
156,02/26/2025 15:07:26,89.659,29.279,16.74,0.0,1.51
157,02/26/2025 15:08:26,89.439,29.316,16.84,0.0,1.62
158,02/26/2025 15:09:26,89.512,29.395,16.64,0.0,1.52
159,02/26/2025 15:10:26,88.844,29.379,16.54,0.0,1.43
160,02/26/2025 15:11:26,89.256,29.359,16.63,0.0,1.48
161,02/26/2025 15:12:26,89.604,29.29,16.65,0.0,1.45
162,02/26/2025 15:13:26,89.522,29.195,16.7,0.0,1.41
163,02/26/2025 15:14:26,89.714,29.168,16.65,0.0,1.35
164,02/26/2025 15:15:26,89.238,29.176,16.7,0.0,1.39
165,02/26/2025 15:16:26,88.945,29.185,16.64,0.0,1.35
166,02/26/2025 15:17:26,89.567,29.103,16.73,0.0,1.36
167,02/26/2025 15:18:26,89.558,29.081,16.68,0.0,1.3
168,02/26/2025 15:19:26,89.815,29.017,16.69,0.0,1.26
169,02/26/2025 15:20:26,89.952,28.986,16.71,0.0,1.25
170,02/26/2025 15:21:26,89.064,29.006,16.79,0.0,1.33
171,02/26/2025 15:22:26,88.936,28.964,16.79,0.0,1.3
172,02/26/2025 15:23:26,89.586,28.978,16.87,0.0,1.37
173,02/26/2025 15:24:26,89.54,28.914,16.85,0.0,1.31
174,02/26/2025 15:25:26,90.153,28.903,16.87,0.0,1.31
175,02/26/2025 15:26:26,89.769,28.93,16.9,0.0,1.36
176,02/26/2025 15:27:26,90.208,28.863,16.9,0.0,1.31
177,02/26/2025 15:28:26,89.65,28.878,16.93,0.0,1.34
178,02/26/2025 15:29:26,95.207,28.936,16.99,0.0,1.44
179,02/26/2025 15:30:26,95.317,29.04,17.11,0.0,1.62
180,02/26/2025 15:31:26,90.474,29.001,17.29,0.0,1.73
181,02/26/2025 15:32:26,89.961,28.997,17.39,0.0,1.81
182,02/26/2025 15:33:26,89.787,29.065,16.96,0.0,1.52
183,02/26/2025 15:34:26,90.043,29.003,16.91,0.0,1.43
184,02/26/2025 15:35:26,89.915,28.981,16.91,0.0,1.41
185,02/26/2025 15:36:26,89.97,28.952,16.9,0.0,1.38
186,02/26/2025 15:37:26,90.172,28.925,16.93,0.0,1.38
187,02/26/2025 15:38:26,90.016,28.91,16.91,0.0,1.35
188,02/26/2025 15:39:26,89.815,28.844,16.9,0.0,1.29
189,02/26/2025 15:40:26,89.421,28.822,16.93,0.0,1.3
190,02/26/2025 15:41:26,89.815,28.76,16.96,0.0,1.27
191,02/26/2025 15:42:26,90.547,28.656,16.92,0.0,1.16
192,02/26/2025 15:43:26,98.384,28.782,16.92,0.0,1.26
193,02/26/2025 15:44:26,97.707,28.805,16.94,0.0,1.29
194,02/26/2025 15:45:26,98.329,28.833,16.94,0.0,1.31
195,02/26/2025 15:46:26,94.658,28.836,16.92,0.0,1.3
196,02/26/2025 15:47:26,94.063,28.878,16.95,0.0,1.36
197,02/26/2025 15:48:26,93.66,28.788,16.95,0.0,1.29
198,02/26/2025 15:49:26,93.202,28.751,16.92,0.0,1.23
199,02/26/2025 15:50:26,93.468,28.745,16.92,0.0,1.23
200,02/26/2025 15:51:26,92.818,28.717,16.85,0.0,1.15
201,02/26/2025 15:52:26,92.497,28.715,16.85,0.0,1.15
202,02/26/2025 15:53:26,93.44,28.714,16.83,0.0,1.13
203,02/26/2025 15:54:26,96.553,28.767,17.11,0.0,1.4
204,02/26/2025 15:55:26,96.498,28.826,17.21,0.0,1.53
205,02/26/2025 15:56:26,97.295,28.9,17.36,0.0,1.71
206,02/26/2025 15:57:26,96.59,28.981,16.79,0.0,1.31
207,02/26/2025 15:58:26,96.699,29.019,16.77,0.0,1.33
208,02/26/2025 15:59:26,96.352,29.04,16.66,0.0,1.25
209,02/26/2025 16:00:26,96.233,29.051,16.68,0.0,1.28
210,02/26/2025 16:01:26,94.749,29.056,16.62,0.0,1.23
211,02/26/2025 16:02:26,93.404,28.955,16.66,0.0,1.18
212,02/26/2025 16:03:26,93.715,28.872,16.7,0.0,1.15
213,02/26/2025 16:04:26,92.992,28.748,16.69,0.0,1.05
214,02/26/2025 16:05:26,94.292,28.734,16.73,0.0,1.06
215,02/26/2025 16:06:26,94.841,28.689,16.71,0.0,1.01
216,02/26/2025 16:07:26,94.228,28.697,16.69,0.0,1.0
217,02/26/2025 16:08:26,94.52,28.641,16.74,0.0,1.0
218,02/26/2025 16:09:26,94.182,28.641,16.74,0.0,0.99
219,02/26/2025 16:10:26,94.063,28.585,16.72,0.0,0.93
220,02/26/2025 16:11:26,94.612,28.557,16.7,0.0,0.9
221,02/26/2025 16:12:26,94.942,28.518,16.65,0.0,0.83
222,02/26/2025 16:13:26,94.411,28.493,16.76,0.0,0.9
223,02/26/2025 16:14:26,90.437,28.414,16.8,0.0,0.86
224,02/26/2025 16:15:26,90.043,28.357,16.83,0.0,0.84
225,02/26/2025 16:16:26,90.007,28.273,16.78,0.0,0.73
226,02/26/2025 16:17:26,96.022,28.42,17.03,0.0,1.06
227,02/26/2025 16:18:26,96.59,28.541,17.56,0.0,1.58
228,02/26/2025 16:19:26,90.373,28.675,17.41,0.0,1.57
229,02/26/2025 16:20:26,90.034,28.709,17.06,0.0,1.31
230,02/26/2025 16:21:26,89.531,28.7,16.9,0.0,1.17
231,02/26/2025 16:22:26,95.381,28.715,16.8,0.0,1.11
232,02/26/2025 16:23:26,95.756,28.836,16.79,0.0,1.19
233,02/26/2025 16:24:26,95.958,28.822,16.79,0.0,1.18
234,02/26/2025 16:25:26,95.18,28.846,16.75,0.0,1.17
235,02/26/2025 16:26:26,95.784,28.858,16.77,0.0,1.2
236,02/26/2025 16:27:26,95.482,28.822,16.75,0.0,1.15
237,02/26/2025 16:28:26,93.513,28.807,16.75,0.0,1.14
238,02/26/2025 16:29:26,93.925,28.819,16.7,0.0,1.11
239,02/26/2025 16:30:26,93.742,28.816,16.65,0.0,1.07
240,02/26/2025 16:31:26,89.146,28.819,16.64,0.0,1.06
241,02/26/2025 16:32:26,89.842,28.763,16.71,0.0,1.07
242,02/26/2025 16:33:26,88.936,28.709,16.77,0.0,1.08
243,02/26/2025 16:34:26,89.888,28.661,16.77,0.0,1.04
244,02/26/2025 16:35:26,92.497,28.689,16.95,0.0,1.21
245,02/26/2025 16:36:26,92.689,28.706,17.0,0.0,1.26
246,02/26/2025 16:37:26,92.515,28.763,16.98,0.0,1.29
247,02/26/2025 16:38:26,100.938,28.843,16.96,0.0,1.34
248,02/26/2025 16:39:26,93.083,28.922,17.08,0.0,1.5
249,02/26/2025 16:40:26,93.825,28.883,17.1,0.0,1.49
250,02/26/2025 16:41:26,93.523,28.952,17.55,0.0,1.91
251,02/26/2025 16:42:26,90.932,29.009,17.49,0.0,1.91
252,02/26/2025 16:43:26,90.904,29.111,17.15,0.0,1.71
253,02/26/2025 16:44:26,89.65,29.134,16.89,0.0,1.52
254,02/26/2025 16:45:26,89.613,29.132,16.84,0.0,1.48
255,02/26/2025 16:46:26,93.669,29.173,16.83,0.0,1.5
256,02/26/2025 16:47:26,93.486,29.192,16.78,0.0,1.48
257,02/26/2025 16:48:26,93.404,29.217,16.77,0.0,1.48
258,02/26/2025 16:49:26,93.587,29.251,16.78,0.0,1.52
259,02/26/2025 16:50:26,93.019,29.217,16.74,0.0,1.46
260,02/26/2025 16:51:26,89.238,29.193,16.69,0.0,1.4
261,02/26/2025 16:52:26,89.027,29.165,16.74,0.0,1.42
262,02/26/2025 16:53:26,89.073,29.162,16.74,0.0,1.41
263,02/26/2025 16:54:26,89.421,29.134,16.85,0.0,1.48
264,02/26/2025 16:55:26,89.915,29.089,16.82,0.0,1.42
265,02/26/2025 16:56:26,89.375,29.096,16.84,0.0,1.44
266,02/26/2025 16:57:26,89.22,29.084,16.85,0.0,1.44
267,02/26/2025 16:58:26,88.917,29.04,16.82,0.0,1.38
268,02/26/2025 16:59:26,88.688,29.005,16.87,0.0,1.39
269,02/26/2025 17:00:26,88.45,29.009,16.91,0.0,1.44
270,02/26/2025 17:01:26,88.295,29.0,16.87,0.0,1.39
271,02/26/2025 17:02:26,88.249,28.984,16.88,0.0,1.39
272,02/26/2025 17:03:26,87.938,28.945,16.93,0.0,1.4
273,02/26/2025 17:04:26,87.892,28.864,17.17,0.0,1.53
274,02/26/2025 17:05:26,88.258,28.97,17.47,0.0,1.86
275,02/26/2025 17:06:26,88.322,29.025,17.4,0.0,1.85
276,02/26/2025 17:07:26,87.013,29.185,16.98,0.0,1.63
277,02/26/2025 17:08:26,87.544,29.224,16.87,0.0,1.57
278,02/26/2025 17:09:26,87.086,29.235,16.97,0.0,1.66
279,02/26/2025 17:10:26,87.169,29.226,16.87,0.0,1.57
280,02/26/2025 17:11:26,87.196,29.193,17.07,0.0,1.71
281,02/26/2025 17:12:26,83.818,29.17,17.02,0.0,1.65
282,02/26/2025 17:13:26,77.583,28.872,17.0,0.0,1.4
283,02/26/2025 17:14:26,78.215,28.734,17.06,0.0,1.34
284,02/26/2025 17:15:26,77.079,28.678,17.09,0.0,1.32
285,02/26/2025 17:16:26,87.114,28.572,17.11,0.0,1.24
286,02/26/2025 17:17:26,102.879,28.953,17.19,0.0,1.62
287,02/26/2025 17:18:26,90.529,28.956,17.22,0.0,1.65
288,02/26/2025 17:19:26,90.703,28.945,17.24,0.0,1.65
289,02/26/2025 17:20:26,90.034,28.941,17.2,0.0,1.62
290,02/26/2025 17:21:26,90.639,28.933,17.28,0.0,1.68
291,02/26/2025 17:22:26,90.465,28.914,17.27,0.0,1.65
292,02/26/2025 17:23:26,93.742,28.963,17.24,0.0,1.66
293,02/26/2025 17:24:26,93.275,28.983,17.3,0.0,1.73
294,02/26/2025 17:25:26,93.98,29.029,17.3,0.0,1.77
295,02/26/2025 17:26:26,94.411,29.036,17.33,0.0,1.8
296,02/26/2025 17:27:26,89.76,29.029,17.28,0.0,1.75
297,02/26/2025 17:28:26,88.707,28.984,17.22,0.0,1.67
298,02/26/2025 17:29:26,88.194,28.945,17.56,0.0,1.91
299,02/26/2025 17:30:26,88.002,28.958,17.79,0.0,2.1
300,02/26/2025 17:31:26,87.828,29.042,17.6,0.0,2.02
301,02/26/2025 17:32:26,88.469,29.104,17.24,0.0,1.78
302,02/26/2025 17:33:26,87.965,29.073,17.5,0.0,1.96
303,02/26/2025 17:34:26,88.112,28.977,17.39,0.0,1.79
304,02/26/2025 17:35:26,88.038,28.863,17.34,0.0,1.66
305,02/26/2025 17:36:26,88.075,28.871,17.25,0.0,1.6
306,02/26/2025 17:37:26,87.608,28.795,17.25,0.0,1.54
307,02/26/2025 17:38:26,87.636,28.872,17.22,0.0,1.58
308,02/26/2025 17:39:26,87.718,28.919,17.22,0.0,1.62
309,02/26/2025 17:40:26,87.535,28.938,17.27,0.0,1.67
310,02/26/2025 17:41:26,87.407,28.871,17.25,0.0,1.6
311,02/26/2025 17:42:26,87.636,28.874,17.26,0.0,1.61
312,02/26/2025 17:43:26,87.672,28.863,17.25,0.0,1.59
313,02/26/2025 17:44:26,87.837,28.81,17.26,0.0,1.56
314,02/26/2025 17:45:26,87.709,28.821,17.25,0.0,1.56
315,02/26/2025 17:46:26,87.636,28.791,17.26,0.0,1.55
316,02/26/2025 17:47:26,87.608,28.782,17.2,0.0,1.49
317,02/26/2025 17:48:26,87.599,28.785,17.23,0.0,1.51
318,02/26/2025 17:49:26,87.645,28.773,17.23,0.0,1.5
319,02/26/2025 17:50:26,88.038,28.746,17.25,0.0,1.5
320,02/26/2025 17:51:26,87.59,28.749,17.28,0.0,1.52
321,02/26/2025 17:52:26,87.59,28.735,17.28,0.0,1.51
322,02/26/2025 17:53:26,88.386,28.712,17.36,0.0,1.56
323,02/26/2025 17:54:26,88.597,28.796,17.54,0.0,1.77
324,02/26/2025 17:55:26,86.894,28.844,17.52,0.0,1.8
325,02/26/2025 17:56:26,86.839,28.899,17.31,0.0,1.67
326,02/26/2025 17:57:26,86.464,28.924,17.28,0.0,1.67
327,02/26/2025 17:58:26,86.802,28.897,17.3,0.0,1.66
328,02/26/2025 17:59:26,86.729,28.916,17.26,0.0,1.65
329,02/26/2025 18:00:26,86.958,28.882,17.26,0.0,1.62
330,02/26/2025 18:01:26,86.958,28.855,17.23,0.0,1.57
331,02/26/2025 18:02:26,87.224,28.801,17.22,0.0,1.52
332,02/26/2025 18:03:26,86.967,28.796,17.25,0.0,1.54
333,02/26/2025 18:04:26,87.214,28.745,17.26,0.0,1.51
334,02/26/2025 18:05:26,90.217,28.791,17.28,0.0,1.56
335,02/26/2025 18:06:26,90.282,28.826,17.28,0.0,1.59
336,02/26/2025 18:07:26,89.879,28.822,17.26,0.0,1.57
337,02/26/2025 18:08:26,90.327,28.863,17.37,0.0,1.69
338,02/26/2025 18:09:26,89.769,28.835,17.33,0.0,1.63
339,02/26/2025 18:10:26,89.979,28.79,17.29,0.0,1.57
340,02/26/2025 18:11:26,90.208,28.779,17.29,0.0,1.56
341,02/26/2025 18:12:26,89.943,28.754,17.28,0.0,1.53
342,02/26/2025 18:13:26,89.613,28.659,17.58,0.0,1.7
343,02/26/2025 18:14:26,89.522,28.638,17.58,0.0,1.68
344,02/26/2025 18:15:26,89.751,28.648,17.39,0.0,1.53
345,02/26/2025 18:16:26,89.714,28.664,17.44,0.0,1.58
346,02/26/2025 18:17:26,89.631,28.582,17.4,0.0,1.49
347,02/26/2025 18:18:26,89.952,28.486,18.12,0.0,1.97
348,02/26/2025 18:19:26,90.282,28.628,18.04,0.0,2.03
349,02/26/2025 18:20:26,90.172,28.701,17.76,0.0,1.87
350,02/26/2025 18:21:26,89.979,28.729,17.58,0.0,1.75
351,02/26/2025 18:22:26,90.217,28.709,17.73,0.0,1.85
352,02/26/2025 18:23:26,89.265,28.709,17.47,0.0,1.64
353,02/26/2025 18:24:26,89.769,28.781,17.32,0.0,1.59
354,02/26/2025 18:25:26,89.522,28.726,17.36,0.0,1.57
355,02/26/2025 18:26:26,89.778,28.613,17.27,0.0,1.41
356,02/26/2025 18:27:26,89.531,28.563,17.21,0.0,1.32
357,02/26/2025 18:28:26,89.412,28.562,17.26,0.0,1.36
358,02/26/2025 18:29:26,89.403,28.562,17.35,0.0,1.43
359,02/26/2025 18:30:26,89.311,28.639,17.29,0.0,1.44
360,02/26/2025 18:31:26,89.22,28.588,17.35,0.0,1.45
361,02/26/2025 18:32:26,89.531,28.588,17.29,0.0,1.4
362,02/26/2025 18:33:26,89.43,28.594,17.32,0.0,1.43
363,02/26/2025 18:34:26,93.046,28.631,17.29,0.0,1.44
364,02/26/2025 18:35:26,92.827,28.728,17.25,0.0,1.49
365,02/26/2025 18:36:26,92.937,28.714,17.34,0.0,1.54
366,02/26/2025 18:37:26,93.083,28.698,17.37,0.0,1.55
367,02/26/2025 18:38:26,92.973,28.725,17.37,0.0,1.58
368,02/26/2025 18:39:26,92.58,28.749,17.35,0.0,1.58
369,02/26/2025 18:40:26,92.946,28.77,17.34,0.0,1.59
370,02/26/2025 18:41:26,91.984,28.776,17.34,0.0,1.59
371,02/26/2025 18:42:26,93.156,28.711,17.6,0.0,1.75
372,02/26/2025 18:43:26,98.283,28.958,17.68,0.0,2.01
373,02/26/2025 18:44:26,101.039,29.123,17.71,0.0,2.17
374,02/26/2025 18:45:26,100.545,29.252,17.39,0.0,2.02
375,02/26/2025 18:46:26,105.946,29.338,17.35,0.0,2.05
376,02/26/2025 18:47:26,106.111,29.416,17.32,0.0,2.1
377,02/26/2025 18:48:26,100.426,29.405,17.26,0.0,2.04
378,02/26/2025 18:49:26,100.069,29.36,17.26,0.0,2.0
379,02/26/2025 18:50:26,100.252,29.352,17.24,0.0,1.98
380,02/26/2025 18:51:26,100.371,29.371,17.23,0.0,1.98
381,02/26/2025 18:52:26,100.49,29.409,17.21,0.0,2.0
382,02/26/2025 18:53:26,98.256,29.352,17.18,0.0,1.93
383,02/26/2025 18:54:26,95.161,29.352,17.0,0.0,1.79
384,02/26/2025 18:55:26,94.64,29.29,17.08,0.0,1.8
385,02/26/2025 18:56:26,95.033,29.259,17.1,0.0,1.79
386,02/26/2025 18:57:26,101.396,29.307,17.05,0.0,1.79
387,02/26/2025 18:58:26,100.691,29.365,16.99,0.0,1.78
388,02/26/2025 18:59:26,100.929,29.402,16.97,0.0,1.8
389,02/26/2025 19:00:26,96.031,29.352,16.94,0.0,1.73
390,02/26/2025 19:01:26,96.416,29.316,16.95,0.0,1.72
391,02/26/2025 19:02:26,96.269,29.277,16.95,0.0,1.68
392,02/26/2025 19:03:26,95.537,29.203,17.03,0.0,1.69
393,02/26/2025 19:04:26,96.104,29.193,17.32,0.0,1.92
394,02/26/2025 19:05:26,96.434,29.263,17.49,0.0,2.11
395,02/26/2025 19:06:26,96.251,29.379,17.52,0.0,2.23
396,02/26/2025 19:07:26,95.601,29.402,17.04,0.0,1.86
397,02/26/2025 19:08:26,95.802,29.407,17.02,0.0,1.84
398,02/26/2025 19:09:26,95.546,29.391,16.96,0.0,1.78
399,02/26/2025 19:10:26,95.39,29.388,16.99,0.0,1.8
400,02/26/2025 19:11:26,97.111,29.376,16.96,0.0,1.77
401,02/26/2025 19:12:26,98.54,29.448,16.96,0.0,1.82
402,02/26/2025 19:13:26,98.75,29.438,16.97,0.0,1.83
403,02/26/2025 19:14:26,98.878,29.399,16.89,0.0,1.73
404,02/26/2025 19:15:26,91.774,29.302,16.97,0.0,1.72
405,02/26/2025 19:16:26,91.197,29.192,16.97,0.0,1.63
406,02/26/2025 19:17:26,96.333,29.179,17.07,0.0,1.7
407,02/26/2025 19:18:26,96.214,29.123,17.13,0.0,1.71
408,02/26/2025 19:19:26,96.855,29.093,17.13,0.0,1.68
409,02/26/2025 19:20:26,96.864,29.078,17.19,0.0,1.72
410,02/26/2025 19:21:26,96.873,29.014,17.23,0.0,1.7
411,02/26/2025 19:22:26,96.773,29.042,17.22,0.0,1.72
412,02/26/2025 19:23:26,97.505,29.005,17.19,0.0,1.66
413,02/26/2025 19:24:26,96.992,28.958,17.27,0.0,1.68
414,02/26/2025 19:25:26,96.69,28.95,17.3,0.0,1.7
415,02/26/2025 19:26:26,96.635,29.008,17.77,0.0,2.13
416,02/26/2025 19:27:26,96.956,29.143,17.79,0.0,2.25
417,02/26/2025 19:28:26,97.45,29.243,17.72,0.0,2.28
418,02/26/2025 19:29:26,97.002,29.302,17.19,0.0,1.9
419,02/26/2025 19:30:26,97.185,29.295,17.21,0.0,1.91
420,02/26/2025 19:31:26,97.194,29.277,17.09,0.0,1.8
